,iterations,time
0,0,0.05199480056762695
1,1,0.6601417064666748
2,2,1.2049367427825928
3,3,2.162071704864502
4,4,2.3600287437438965
5,5,3.2862493991851807
6,6,3.919020175933838
7,7,4.479687213897705
8,8,5.001291990280151
9,9,5.62661600112915
10,10,6.616050481796265
11,11,6.630909442901611
12,12,7.8326334953308105
13,13,7.742902517318726
14,14,8.763912439346313
15,15,9.374128341674805
16,16,10.074889183044434
17,17,10.453115224838257
18,18,11.549152135848999
19,19,11.565499305725098
20,20,12.874145269393921
21,21,12.790291786193848
22,22,13.771219730377197
23,23,14.339873313903809
24,24,15.0643470287323
25,25,15.52191686630249
26,26,16.08431601524353
27,27,16.77557897567749
28,28,17.751071214675903
29,29,17.849785327911377
30,30,18.422056198120117
31,31,19.327928066253662
32,32,19.934701204299927
33,33,20.726396799087524
34,34,21.231563329696655
35,35,21.066218852996826
36,36,22.746906518936157
37,37,22.826667308807373
38,38,23.375782012939453
39,39,24.41997981071472
40,40,24.6024432182312
41,41,25.61769962310791
42,42,25.788761377334595
43,43,26.71547031402588
44,44,27.36645793914795
45,45,27.746143579483032
46,46,29.013108491897583
47,47,29.130831003189087
48,48,29.634763717651367
49,49,30.3639018535614
50,50,30.95588183403015
51,51,31.869542360305786
52,52,32.568888664245605
53,53,32.7143828868866
54,54,33.60789132118225
55,55,34.386643409729004
56,56,34.445560932159424
57,57,35.38776254653931
58,58,35.86823081970215
59,59,36.50588655471802
60,60,37.63134288787842
61,61,37.72712230682373
62,62,38.24573302268982
63,63,39.43320441246033
64,64,39.49989867210388
65,65,40.56112480163574
66,66,40.76179218292236
67,67,41.941572189331055
68,68,41.65837097167969
