method,iteration,gradient,time
numerical_diff,1,-0.0169456708593637,4.660860061645508
jvp_diff,1,-0.016941649329563796,9.020253896713257
vjp_diff,1,-0.016951701829303965,26.9741530418396
numerical_diff,2,-0.04821085308856672,0.8108983039855957
jvp_diff,2,-0.048196170951277144,0.8102109432220459
vjp_diff,2,-0.048191916045543313,1.6628141403198242
numerical_diff,3,-0.09738593154009871,1.1592700481414795
jvp_diff,3,-0.09745486678927125,1.201324224472046
vjp_diff,3,-0.09740933026467438,2.6474690437316895
numerical_diff,4,-0.15801499908887906,1.5893280506134033
jvp_diff,4,-0.15804534814971183,1.5917820930480957
vjp_diff,4,-0.15802838434509864,3.6801719665527344
numerical_diff,5,-0.2427473703005365,2.245795965194702
jvp_diff,5,-0.2425999869919737,2.326719045639038
vjp_diff,5,-0.2423740060593534,5.404134750366211
numerical_diff,6,-0.3557247694378849,2.3549468517303467
jvp_diff,6,-0.3552894203284703,2.523852825164795
vjp_diff,6,-0.35497183150759765,5.853439092636108
numerical_diff,7,-0.492304099694368,2.7828521728515625
jvp_diff,7,-0.49192657525190847,2.8125293254852295
vjp_diff,7,-0.4917505537856103,6.785989761352539
numerical_diff,9,-0.8059525259359375,3.7772998809814453
jvp_diff,9,-0.8063782641549629,4.014914035797119
vjp_diff,9,-0.80575747076936,9.619062185287476
numerical_diff,10,-0.9669140336760351,4.153321027755737
jvp_diff,10,-0.9676840859417213,4.308122158050537
vjp_diff,10,-0.9658553833781642,10.566606044769287
numerical_diff,20,-2.1112586780832467,8.415372133255005
jvp_diff,20,-2.1123628613932115,8.089272022247314
vjp_diff,20,-2.1074683921453032,20.48057508468628
numerical_diff,30,-3.2697710014833317,14.179763793945312
jvp_diff,30,-3.270562086671416,12.703598976135254
vjp_diff,30,-3.2555512179846473,30.53929328918457
numerical_diff,40,-4.383523703147419,18.36171817779541
jvp_diff,40,-4.385103135601814,17.220082998275757
vjp_diff,40,-4.364245846250051,40.1434371471405
numerical_diff,50,-5.472742241265267,24.55744981765747
jvp_diff,50,-5.474059219121108,20.561999797821045
vjp_diff,50,-5.44482846006776,57.24808597564697
